index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	あさり先生	プロデューサーくん。今回の目標となる\n定期公演について説明しますね。	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-001	sud_vo_adv_pstory_001_cmmn_world-explanation	1	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0001_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0001_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0001_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	11	12	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
2	あさり先生	初星学園には定期的に行っている\n『初』という公演があるんです。	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-002	sud_vo_adv_pstory_001_cmmn_world-explanation	2	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0002_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0002_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0002_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	15	16	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
3	あさり先生	中間と最終、\n2回の試験を突破することで、	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-003	sud_vo_adv_pstory_001_cmmn_world-explanation	3	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0003_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0003_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0003_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	19	20	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
4	あさり先生	『初』に出演することができます。\nただし……	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-004	sud_vo_adv_pstory_001_cmmn_world-explanation	4	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0004_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0004_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0004_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	23	28	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
5	あさり先生	メインステージでライブをする\n権利を得るためには、	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-005	sud_vo_adv_pstory_001_cmmn_world-explanation	5	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0005_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0005_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0005_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	31	32	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
6	あさり先生	厳しい条件を\n満たす必要があるんです。	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-006	sud_vo_adv_pstory_001_cmmn_world-explanation	6	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0006_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0006_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0006_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	35	36	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
7	あさり先生	最終試験の結果は特に重要です。	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-007	sud_vo_adv_pstory_001_cmmn_world-explanation	7	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0007_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0007_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0007_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	38	39	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
8	あさり先生	さあ、思い浮かべてみてください。	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-008	sud_vo_adv_pstory_001_cmmn_world-explanation	8	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0008_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0008_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0008_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	43	44	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
9	あさり先生	いくつものハードルを乗り越えた先――	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-009	sud_vo_adv_pstory_001_cmmn_world-explanation	9	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0009_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0009_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0009_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	47	48	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
10	あさり先生	きみの担当アイドルが、\n大歓声の中でライブをする姿を。	sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-010	sud_vo_adv_pstory_001_cmmn_world-explanation	10	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0010_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0010_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\asari\asari_limit200\items\0010_sud_vo_adv_pstory_001_cmmn_world-explanation_nasr-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52333233/91ba871477f411619acb005f396314fe	53	54	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/523130333937/ddf64353d9349a1bb74a2fd08053b23b
