index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	千奈	先輩方に日頃の感謝をお伝えし、\n慰労するパーティーを開催いたします。	sud_vo_adv_event_025_main-03_kcna-001	sud_vo_adv_event_025_main-03	34	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0001_sud_vo_adv_event_025_main-03_kcna-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0001_sud_vo_adv_event_025_main-03_kcna-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0001_sud_vo_adv_event_025_main-03_kcna-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	24	25	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
2	千奈	本会議は、この企画をまとめ、\nつつがなく実行するための会議。	sud_vo_adv_event_025_main-03_kcna-002	sud_vo_adv_event_025_main-03	35	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0002_sud_vo_adv_event_025_main-03_kcna-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0002_sud_vo_adv_event_025_main-03_kcna-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0002_sud_vo_adv_event_025_main-03_kcna-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	26	30	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
3	千奈	花海さん、秦谷さん、\nよろしくお願いいたします。	sud_vo_adv_event_025_main-03_kcna-003	sud_vo_adv_event_025_main-03	36	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0003_sud_vo_adv_event_025_main-03_kcna-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0003_sud_vo_adv_event_025_main-03_kcna-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0003_sud_vo_adv_event_025_main-03_kcna-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	31	37	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
4	千奈	パーティーの内容についてお話しする\n前に、思い出さなくてはなりませんわ。	sud_vo_adv_event_025_main-03_kcna-004	sud_vo_adv_event_025_main-03	37	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0004_sud_vo_adv_event_025_main-03_kcna-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0004_sud_vo_adv_event_025_main-03_kcna-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0004_sud_vo_adv_event_025_main-03_kcna-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	59	65	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
5	千奈	元はといえば、わたくしたちの\nふがいない仕事ぶりが問題になっていた\nということを。	sud_vo_adv_event_025_main-03_kcna-005	sud_vo_adv_event_025_main-03	38	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0005_sud_vo_adv_event_025_main-03_kcna-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0005_sud_vo_adv_event_025_main-03_kcna-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0005_sud_vo_adv_event_025_main-03_kcna-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	66	72	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
6	千奈	花海さん、どうぞ。	sud_vo_adv_event_025_main-03_kcna-006	sud_vo_adv_event_025_main-03	39	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0006_sud_vo_adv_event_025_main-03_kcna-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0006_sud_vo_adv_event_025_main-03_kcna-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0006_sud_vo_adv_event_025_main-03_kcna-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	101	102	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
7	千奈	花海さんがいつも、レッスンメニューや\nお食事を管理しているように？	sud_vo_adv_event_025_main-03_kcna-007	sud_vo_adv_event_025_main-03	40	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0007_sud_vo_adv_event_025_main-03_kcna-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0007_sud_vo_adv_event_025_main-03_kcna-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0007_sud_vo_adv_event_025_main-03_kcna-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	114	117	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
8	千奈	それでいきましょう♪	sud_vo_adv_event_025_main-03_kcna-008	sud_vo_adv_event_025_main-03	41	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0008_sud_vo_adv_event_025_main-03_kcna-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0008_sud_vo_adv_event_025_main-03_kcna-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0008_sud_vo_adv_event_025_main-03_kcna-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	136	140	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
9	千奈	続いての議題は、パーティーで\nなにをするか、ですわ。	sud_vo_adv_event_025_main-03_kcna-009	sud_vo_adv_event_025_main-03	42	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0009_sud_vo_adv_event_025_main-03_kcna-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0009_sud_vo_adv_event_025_main-03_kcna-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0009_sud_vo_adv_event_025_main-03_kcna-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	150	157	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
10	千奈	やりましょう♪　秦谷さんもご一緒に！	sud_vo_adv_event_025_main-03_kcna-010	sud_vo_adv_event_025_main-03	43	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0010_sud_vo_adv_event_025_main-03_kcna-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0010_sud_vo_adv_event_025_main-03_kcna-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\china\20260714_234531_limit100\items\0010_sud_vo_adv_event_025_main-03_kcna-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	179	184	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
