index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	広	やっと、だね。	sud_vo_adv_dear_shro_018_shro-001	sud_vo_adv_dear_shro_018	1	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0001_sud_vo_adv_dear_shro_018_shro-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0001_sud_vo_adv_dear_shro_018_shro-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0001_sud_vo_adv_dear_shro_018_shro-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	12	15	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
2	広	千奈と……佑芽と……わたしとで、\n優勝をかけて競い合う。	sud_vo_adv_dear_shro_018_shro-002	sud_vo_adv_dear_shro_018	2	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0002_sud_vo_adv_dear_shro_018_shro-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0002_sud_vo_adv_dear_shro_018_shro-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0002_sud_vo_adv_dear_shro_018_shro-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	16	19	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
3	広	学園最底辺だったわたしたちが、\n『N.I.A』を席巻してるなんて。	sud_vo_adv_dear_shro_018_shro-003	sud_vo_adv_dear_shro_018	3	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0003_sud_vo_adv_dear_shro_018_shro-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0003_sud_vo_adv_dear_shro_018_shro-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0003_sud_vo_adv_dear_shro_018_shro-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	20	25	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
4	広	こんな夢みたいな状況を、\nプロデューサーは、予想していた？	sud_vo_adv_dear_shro_018_shro-004	sud_vo_adv_dear_shro_018	4	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0004_sud_vo_adv_dear_shro_018_shro-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0004_sud_vo_adv_dear_shro_018_shro-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0004_sud_vo_adv_dear_shro_018_shro-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	26	29	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
5	広	わりと最近。	sud_vo_adv_dear_shro_018_shro-005	sud_vo_adv_dear_shro_018	5	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0005_sud_vo_adv_dear_shro_018_shro-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0005_sud_vo_adv_dear_shro_018_shro-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0005_sud_vo_adv_dear_shro_018_shro-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	38	41	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
6	広	とんでもない暴言が飛び出した。	sud_vo_adv_dear_shro_018_shro-006	sud_vo_adv_dear_shro_018	6	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0006_sud_vo_adv_dear_shro_018_shro-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0006_sud_vo_adv_dear_shro_018_shro-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0006_sud_vo_adv_dear_shro_018_shro-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	44	49	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
7	広	ふふ、地獄のですろーど。\n踏破した、よ。	sud_vo_adv_dear_shro_018_shro-007	sud_vo_adv_dear_shro_018	7	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0007_sud_vo_adv_dear_shro_018_shro-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0007_sud_vo_adv_dear_shro_018_shro-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0007_sud_vo_adv_dear_shro_018_shro-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	57	60	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
8	広	だめ。嬉しすぎて……\nふぅ、ってなっちゃうから。	sud_vo_adv_dear_shro_018_shro-008	sud_vo_adv_dear_shro_018	8	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0008_sud_vo_adv_dear_shro_018_shro-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0008_sud_vo_adv_dear_shro_018_shro-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0008_sud_vo_adv_dear_shro_018_shro-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	67	72	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
9	広	勝って、帰ってきたら……\n……たくさん褒めて、ね。	sud_vo_adv_dear_shro_018_shro-009	sud_vo_adv_dear_shro_018	9	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0009_sud_vo_adv_dear_shro_018_shro-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0009_sud_vo_adv_dear_shro_018_shro-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0009_sud_vo_adv_dear_shro_018_shro-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	73	76	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
10	広	いってきます、プロデューサー。	sud_vo_adv_dear_shro_018_shro-010	sud_vo_adv_dear_shro_018	10	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0010_sud_vo_adv_dear_shro_018_shro-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0010_sud_vo_adv_dear_shro_018_shro-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\hiro\20260715_001531_limit100\items\0010_sud_vo_adv_dear_shro_018_shro-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5235353133/d8efed0f79b6010b32b2b24ebc816ce8	77	80	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130323030/979e463991fe0b23ce65908505c6d983
