index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	ことね	（はあぁ～、緊張するナー……）	sud_vo_adv_csprt-3-0098_01_fktn-001	sud_vo_adv_csprt-3-0098_01	1	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0001_sud_vo_adv_csprt-3-0098_01_fktn-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0001_sud_vo_adv_csprt-3-0098_01_fktn-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0001_sud_vo_adv_csprt-3-0098_01_fktn-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	8	13	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
2	ことね	（でも、一緒にお弁当食べるだけなら、\n断る理由もないし……）	sud_vo_adv_csprt-3-0098_01_fktn-002	sud_vo_adv_csprt-3-0098_01	2	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0002_sud_vo_adv_csprt-3-0098_01_fktn-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0002_sud_vo_adv_csprt-3-0098_01_fktn-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0002_sud_vo_adv_csprt-3-0098_01_fktn-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	14	17	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
3	ことね	（つーか、憧れの人とお昼ご飯なんて、\nふつーにめちゃ嬉しーしぃ……）	sud_vo_adv_csprt-3-0098_01_fktn-003	sud_vo_adv_csprt-3-0098_01	3	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0003_sud_vo_adv_csprt-3-0098_01_fktn-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0003_sud_vo_adv_csprt-3-0098_01_fktn-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0003_sud_vo_adv_csprt-3-0098_01_fktn-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	18	23	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
4	ことね	ふわあっ！？　か、会長……	sud_vo_adv_csprt-3-0098_01_fktn-004	sud_vo_adv_csprt-3-0098_01	4	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0004_sud_vo_adv_csprt-3-0098_01_fktn-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0004_sud_vo_adv_csprt-3-0098_01_fktn-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0004_sud_vo_adv_csprt-3-0098_01_fktn-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	40	47	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
5	ことね	お疲れ様です……って、\nなんですか、その豪華なお重！？	sud_vo_adv_csprt-3-0098_01_fktn-005	sud_vo_adv_csprt-3-0098_01	5	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0005_sud_vo_adv_csprt-3-0098_01_fktn-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0005_sud_vo_adv_csprt-3-0098_01_fktn-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0005_sud_vo_adv_csprt-3-0098_01_fktn-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	64	67	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
6	ことね	……手料理！？　星南会長の！？	sud_vo_adv_csprt-3-0098_01_fktn-006	sud_vo_adv_csprt-3-0098_01	6	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0006_sud_vo_adv_csprt-3-0098_01_fktn-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0006_sud_vo_adv_csprt-3-0098_01_fktn-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0006_sud_vo_adv_csprt-3-0098_01_fktn-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	81	84	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
7	ことね	あ、あの、あたしのお弁当、\nすっげーフツーのやつで、\n正直、見劣りするっていうかぁ……	sud_vo_adv_csprt-3-0098_01_fktn-007	sud_vo_adv_csprt-3-0098_01	7	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0007_sud_vo_adv_csprt-3-0098_01_fktn-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0007_sud_vo_adv_csprt-3-0098_01_fktn-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0007_sud_vo_adv_csprt-3-0098_01_fktn-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	100	103	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
8	ことね	ん……ぎゃっ、あたしの顔！？\nキャ……キャラ弁！？	sud_vo_adv_csprt-3-0098_01_fktn-008	sud_vo_adv_csprt-3-0098_01	8	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0008_sud_vo_adv_csprt-3-0098_01_fktn-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0008_sud_vo_adv_csprt-3-0098_01_fktn-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0008_sud_vo_adv_csprt-3-0098_01_fktn-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	125	129	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
9	ことね	う……い、いただきます……\nじゃあ、この三つ編みのところから……	sud_vo_adv_csprt-3-0098_01_fktn-009	sud_vo_adv_csprt-3-0098_01	9	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0009_sud_vo_adv_csprt-3-0098_01_fktn-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0009_sud_vo_adv_csprt-3-0098_01_fktn-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0009_sud_vo_adv_csprt-3-0098_01_fktn-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	154	158	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
10	ことね	……美味しい、ですよ……	sud_vo_adv_csprt-3-0098_01_fktn-010	sud_vo_adv_csprt-3-0098_01	10	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0010_sud_vo_adv_csprt-3-0098_01_fktn-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0010_sud_vo_adv_csprt-3-0098_01_fktn-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\kotone\20260714_230100_limit100\items\0010_sud_vo_adv_csprt-3-0098_01_fktn-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	175	178	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
