index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	リーリヤ	……これって、入学前に\n日本に来たときの……？	sud_vo_adv_csprt-3-0008_01_kllj-001	sud_vo_adv_csprt-3-0008_01	1	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0001_sud_vo_adv_csprt-3-0008_01_kllj-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0001_sud_vo_adv_csprt-3-0008_01_kllj-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0001_sud_vo_adv_csprt-3-0008_01_kllj-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	15	16	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
2	リーリヤ	……いつも、清夏ちゃんが\n不意打ち、してくるから……。	sud_vo_adv_csprt-3-0008_01_kllj-002	sud_vo_adv_csprt-3-0008_01	2	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0002_sud_vo_adv_csprt-3-0008_01_kllj-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0002_sud_vo_adv_csprt-3-0008_01_kllj-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0002_sud_vo_adv_csprt-3-0008_01_kllj-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	45	46	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
3	リーリヤ	……す、清夏ちゃん！\nそれは消して……！	sud_vo_adv_csprt-3-0008_01_kllj-003	sud_vo_adv_csprt-3-0008_01	3	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0003_sud_vo_adv_csprt-3-0008_01_kllj-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0003_sud_vo_adv_csprt-3-0008_01_kllj-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0003_sud_vo_adv_csprt-3-0008_01_kllj-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	66	67	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
4	リーリヤ	……だって、\nは、恥ずかしいよ……。	sud_vo_adv_csprt-3-0008_01_kllj-004	sud_vo_adv_csprt-3-0008_01	4	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0004_sud_vo_adv_csprt-3-0008_01_kllj-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0004_sud_vo_adv_csprt-3-0008_01_kllj-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0004_sud_vo_adv_csprt-3-0008_01_kllj-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	81	82	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
5	リーリヤ	そ、そういう問題じゃなくて……！	sud_vo_adv_csprt-3-0008_01_kllj-005	sud_vo_adv_csprt-3-0008_01	5	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0005_sud_vo_adv_csprt-3-0008_01_kllj-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0005_sud_vo_adv_csprt-3-0008_01_kllj-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0005_sud_vo_adv_csprt-3-0008_01_kllj-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	93	98	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
6	リーリヤ	アイドルは写りも気にすること……！	sud_vo_adv_csprt-3-0008_01_kllj-006	sud_vo_adv_csprt-3-0008_01	6	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0006_sud_vo_adv_csprt-3-0008_01_kllj-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0006_sud_vo_adv_csprt-3-0008_01_kllj-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0006_sud_vo_adv_csprt-3-0008_01_kllj-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	100	103	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
7	リーリヤ	こ、この前のレッスンで、\n言われたでしょ……？	sud_vo_adv_csprt-3-0008_01_kllj-007	sud_vo_adv_csprt-3-0008_01	7	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0007_sud_vo_adv_csprt-3-0008_01_kllj-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0007_sud_vo_adv_csprt-3-0008_01_kllj-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0007_sud_vo_adv_csprt-3-0008_01_kllj-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	115	116	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
8	リーリヤ	……だから、普段の何気ない写真でも\n意識、しないと……。	sud_vo_adv_csprt-3-0008_01_kllj-008	sud_vo_adv_csprt-3-0008_01	8	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0008_sud_vo_adv_csprt-3-0008_01_kllj-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0008_sud_vo_adv_csprt-3-0008_01_kllj-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0008_sud_vo_adv_csprt-3-0008_01_kllj-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	122	123	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
9	リーリヤ	そ、そうじゃなくて……！	sud_vo_adv_csprt-3-0008_01_kllj-009	sud_vo_adv_csprt-3-0008_01	9	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0009_sud_vo_adv_csprt-3-0008_01_kllj-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0009_sud_vo_adv_csprt-3-0008_01_kllj-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0009_sud_vo_adv_csprt-3-0008_01_kllj-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	139	140	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
10	リーリヤ	よしっ、集中……！	sud_vo_adv_cidol-kllj-3-008_03_kllj-001	sud_vo_adv_cidol-kllj-3-008_03	1	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0010_sud_vo_adv_cidol-kllj-3-008_03_kllj-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0010_sud_vo_adv_cidol-kllj-3-008_03_kllj-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\lilja\20260714_232653_limit100\items\0010_sud_vo_adv_cidol-kllj-3-008_03_kllj-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5234393133/b949e5731ceefe8d5cf6add5d2f110e6	4	5	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/9/523133323239/3feeecba6d7ffcd02aa593a6848e379f
