index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	美鈴	お任せください。\n思う存分、お世話ができそうです。	sud_vo_adv_event_025_main-03_hmsz-001	sud_vo_adv_event_025_main-03	1	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0001_sud_vo_adv_event_025_main-03_hmsz-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0001_sud_vo_adv_event_025_main-03_hmsz-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0001_sud_vo_adv_event_025_main-03_hmsz-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	49	50	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
2	美鈴	さあ……\nまずは、お茶とお茶菓子をどうぞ。	sud_vo_adv_event_025_main-03_hmsz-002	sud_vo_adv_event_025_main-03	2	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0002_sud_vo_adv_event_025_main-03_hmsz-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0002_sud_vo_adv_event_025_main-03_hmsz-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0002_sud_vo_adv_event_025_main-03_hmsz-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	51	58	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
3	美鈴	まず改善案を出さなければ、\nパーティーに参加していただく\nどころではないかもしれませんね。	sud_vo_adv_event_025_main-03_hmsz-003	sud_vo_adv_event_025_main-03	3	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0003_sud_vo_adv_event_025_main-03_hmsz-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0003_sud_vo_adv_event_025_main-03_hmsz-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0003_sud_vo_adv_event_025_main-03_hmsz-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	81	84	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
4	美鈴	素晴らしい案だと思いますよ。	sud_vo_adv_event_025_main-03_hmsz-004	sud_vo_adv_event_025_main-03	4	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0004_sud_vo_adv_event_025_main-03_hmsz-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0004_sud_vo_adv_event_025_main-03_hmsz-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0004_sud_vo_adv_event_025_main-03_hmsz-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	132	135	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
5	美鈴	先輩方に、わたしたちの想いを届ける\nようなものでなければいけませんね。	sud_vo_adv_event_025_main-03_hmsz-005	sud_vo_adv_event_025_main-03	5	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0005_sud_vo_adv_event_025_main-03_hmsz-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0005_sud_vo_adv_event_025_main-03_hmsz-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0005_sud_vo_adv_event_025_main-03_hmsz-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	160	163	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
6	美鈴	…………わかりました。\nそこまで強くお望みならば、\nしっかり想いが込められそうです。	sud_vo_adv_event_025_main-03_hmsz-006	sud_vo_adv_event_025_main-03	6	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0006_sud_vo_adv_event_025_main-03_hmsz-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0006_sud_vo_adv_event_025_main-03_hmsz-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0006_sud_vo_adv_event_025_main-03_hmsz-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	188	195	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
7	美鈴	ですがそれはあくまで余興。\nパーティーのメインになるような\nものではありませんよ。	sud_vo_adv_event_025_main-03_hmsz-007	sud_vo_adv_event_025_main-03	7	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0007_sud_vo_adv_event_025_main-03_hmsz-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0007_sud_vo_adv_event_025_main-03_hmsz-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0007_sud_vo_adv_event_025_main-03_hmsz-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	196	201	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
8	美鈴	……それは、なぜ？	sud_vo_adv_event_025_main-03_hmsz-008	sud_vo_adv_event_025_main-03	8	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0008_sud_vo_adv_event_025_main-03_hmsz-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0008_sud_vo_adv_event_025_main-03_hmsz-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0008_sud_vo_adv_event_025_main-03_hmsz-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	234	237	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
9	美鈴	なるべく、自分たちの力で……\n先輩方に、多くのお時間を\n割いていただくことなく。	sud_vo_adv_event_025_main-03_hmsz-009	sud_vo_adv_event_025_main-03	9	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0009_sud_vo_adv_event_025_main-03_hmsz-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0009_sud_vo_adv_event_025_main-03_hmsz-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0009_sud_vo_adv_event_025_main-03_hmsz-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	278	281	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
10	美鈴	わたしたちの想いを、伝える方法。	sud_vo_adv_event_025_main-03_hmsz-010	sud_vo_adv_event_025_main-03	10	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0010_sud_vo_adv_event_025_main-03_hmsz-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0010_sud_vo_adv_event_025_main-03_hmsz-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\misuzu\20260715_010942_limit100\items\0010_sud_vo_adv_event_025_main-03_hmsz-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	282	285	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
