index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	莉波	……麻央。ありがとう。	sud_vo_adv_dear_hrnm_035_hrnm-001	sud_vo_adv_dear_hrnm_035	5	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0001_sud_vo_adv_dear_hrnm_035_hrnm-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0001_sud_vo_adv_dear_hrnm_035_hrnm-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0001_sud_vo_adv_dear_hrnm_035_hrnm-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	15	16	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
2	莉波	――うん。	sud_vo_adv_dear_hrnm_035_hrnm-002	sud_vo_adv_dear_hrnm_035	6	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0002_sud_vo_adv_dear_hrnm_035_hrnm-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0002_sud_vo_adv_dear_hrnm_035_hrnm-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0002_sud_vo_adv_dear_hrnm_035_hrnm-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	49	50	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
3	莉波	星南会長。	sud_vo_adv_dear_hrnm_035_hrnm-003	sud_vo_adv_dear_hrnm_035	7	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0003_sud_vo_adv_dear_hrnm_035_hrnm-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0003_sud_vo_adv_dear_hrnm_035_hrnm-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0003_sud_vo_adv_dear_hrnm_035_hrnm-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	77	78	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
4	莉波	<r=いちばんぼし>一番星</r>になって見る景色は、\nどんな景色ですか？	sud_vo_adv_dear_hrnm_035_hrnm-004	sud_vo_adv_dear_hrnm_035	8	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0004_sud_vo_adv_dear_hrnm_035_hrnm-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0004_sud_vo_adv_dear_hrnm_035_hrnm-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0004_sud_vo_adv_dear_hrnm_035_hrnm-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	83	84	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
5	莉波	……わかりません。\nただ、そこに辿り着けば――	sud_vo_adv_dear_hrnm_035_hrnm-005	sud_vo_adv_dear_hrnm_035	9	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0005_sud_vo_adv_dear_hrnm_035_hrnm-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0005_sud_vo_adv_dear_hrnm_035_hrnm-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0005_sud_vo_adv_dear_hrnm_035_hrnm-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	98	99	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
6	莉波	あなたの見ている先が、\n私にも見えるのかなって。	sud_vo_adv_dear_hrnm_035_hrnm-006	sud_vo_adv_dear_hrnm_035	10	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0006_sud_vo_adv_dear_hrnm_035_hrnm-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0006_sud_vo_adv_dear_hrnm_035_hrnm-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0006_sud_vo_adv_dear_hrnm_035_hrnm-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	103	104	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
7	莉波	……――	sud_vo_adv_dear_hrnm_035_hrnm-007	sud_vo_adv_dear_hrnm_035	11	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0007_sud_vo_adv_dear_hrnm_035_hrnm-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0007_sud_vo_adv_dear_hrnm_035_hrnm-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0007_sud_vo_adv_dear_hrnm_035_hrnm-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	148	150	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
8	莉波	うん、そうだね。	sud_vo_adv_dear_hrnm_035_hrnm-008	sud_vo_adv_dear_hrnm_035	12	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0008_sud_vo_adv_dear_hrnm_035_hrnm-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0008_sud_vo_adv_dear_hrnm_035_hrnm-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0008_sud_vo_adv_dear_hrnm_035_hrnm-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	161	162	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
9	莉波	この日のために、\nやるだけのことは、やってきた。	sud_vo_adv_dear_hrnm_035_hrnm-009	sud_vo_adv_dear_hrnm_035	13	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0009_sud_vo_adv_dear_hrnm_035_hrnm-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0009_sud_vo_adv_dear_hrnm_035_hrnm-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0009_sud_vo_adv_dear_hrnm_035_hrnm-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	168	169	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
10	莉波	私と{user}くんの\n歩んできた、これまでを信じてるから。	sud_vo_adv_dear_hrnm_035_hrnm-010	sud_vo_adv_dear_hrnm_035	14	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0010_sud_vo_adv_dear_hrnm_035_hrnm-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0010_sud_vo_adv_dear_hrnm_035_hrnm-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\rinami\20260715_003446_limit100\items\0010_sud_vo_adv_dear_hrnm_035_hrnm-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	171	172	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
