index	speaker	text	voice_cue	bank_name	subsong_index	wav_file	script_path	line_no	voice_line_no	acb_path
1	燐羽	どうぞ、続けて。ミーティング。	sud_vo_adv_dear_hmsz_020_krnh-001	sud_vo_adv_dear_hmsz_020	33	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-001\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	49	50	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
2	燐羽	あなたもでしょ。	sud_vo_adv_dear_hmsz_020_krnh-002	sud_vo_adv_dear_hmsz_020	34	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-002\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	60	61	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
3	燐羽	悪いわね、プロデューサー。	sud_vo_adv_dear_hmsz_020_krnh-003	sud_vo_adv_dear_hmsz_020	35	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-003\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	62	63	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
4	燐羽	今日からこの教室、元『SyngUp!』の\nたまり場になったから。	sud_vo_adv_dear_hmsz_020_krnh-004	sud_vo_adv_dear_hmsz_020	36	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-004\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	64	69	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
5	燐羽	は？　カケラもしてないけど。\nただ……	sud_vo_adv_dear_hmsz_020_krnh-005	sud_vo_adv_dear_hmsz_020	37	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-005\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	80	82	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
6	燐羽	アイドルやめるのを、ほんのすこし……\n……遅らせることにしただけ。	sud_vo_adv_dear_hmsz_020_krnh-006	sud_vo_adv_dear_hmsz_020	38	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-006\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	83	84	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
7	燐羽	やめてくれない？	sud_vo_adv_dear_hmsz_020_krnh-007	sud_vo_adv_dear_hmsz_020	39	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-007\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	95	96	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
8	燐羽	手毬ごときの言葉で心変わりしたとか、\n思われたくないんだけど。	sud_vo_adv_dear_hmsz_020_krnh-008	sud_vo_adv_dear_hmsz_020	40	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-008\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	97	99	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
9	燐羽	チッ――	sud_vo_adv_dear_hmsz_020_krnh-009	sud_vo_adv_dear_hmsz_020	41	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-009\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	112	113	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
10	燐羽	ハァ……\nほんっと、うっとうしいったら。	sud_vo_adv_dear_hmsz_020_krnh-010	sud_vo_adv_dear_hmsz_020	42	C:\Repositories\GakumasuVoice\output\rinha\items\sud_vo_adv_dear_hmsz_020_krnh-010\voice.wav	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233393733/7cde23d4c88fe8f5323e11faada7d569	152	154	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/523131383531/430413eced1e6aa168ef9091632e0ab4
