index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	咲季	んっ、いまのわたしにとって、\n妥当な結果ね。	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-001	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	1	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0001_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0001_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0001_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	14	15	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
2	咲季	なにかしら、プロデューサー？	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-002	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	2	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0002_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0002_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0002_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	18	19	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
3	咲季	隠したというか……	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-003	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	3	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0003_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0003_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0003_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	27	28	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
4	咲季	気持ちが整理できてないから、\n棚上げにしただけよ。	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-004	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	4	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0004_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0004_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0004_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	31	32	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
5	咲季	むずかしーわよね、この順位って。	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-005	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	5	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0005_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0005_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0005_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	34	35	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
6	咲季	間違いなく上位で、\n良い結果ではあるけれど……\n	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-006	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	6	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0006_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0006_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0006_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	36	37	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
7	咲季	嬉しいし、悔しいし、不安だし……\nほっとしてる自分もいる。	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-007	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	7	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0007_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0007_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0007_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	42	43	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
8	咲季	とりあえず――ライブに集中するわ。	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-008	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	8	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0008_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0008_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0008_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	48	49	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
9	咲季	思いっきり歌って！　踊って！	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-009	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	9	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0009_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0009_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0009_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	52	54	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
10	咲季	スッキリしてから悩むのよ！	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-010	sud_vo_adv_pstory_001_hski_after-audition-final-normal-02	10	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0010_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0010_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\saki\20260714_215713_limit100\items\0010_sud_vo_adv_pstory_001_hski_after-audition-final-normal-02_hski-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236353933/f6456f7a0e2fcd7a47793c7d713d6215	56	57	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/1/5237363631/d91dc7813fc15fb8fcb26ea4ff7909f8
