index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	星南	お待たせ、ことね♪	sud_vo_adv_csprt-3-0098_01_jsna-001	sud_vo_adv_csprt-3-0098_01	13	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0001_sud_vo_adv_csprt-3-0098_01_jsna-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0001_sud_vo_adv_csprt-3-0098_01_jsna-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0001_sud_vo_adv_csprt-3-0098_01_jsna-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	28	34	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
2	星南	ごめんなさい。実行委員の仕事が\nちょっと長引いてしまって……	sud_vo_adv_csprt-3-0098_01_jsna-002	sud_vo_adv_csprt-3-0098_01	14	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0002_sud_vo_adv_csprt-3-0098_01_jsna-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0002_sud_vo_adv_csprt-3-0098_01_jsna-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0002_sud_vo_adv_csprt-3-0098_01_jsna-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	50	54	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
3	星南	フフ、せっかくだし、\nことねに手料理を食べて欲しくて、\n少し、張り切りすぎてしまったわ。	sud_vo_adv_csprt-3-0098_01_jsna-003	sud_vo_adv_csprt-3-0098_01	15	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0003_sud_vo_adv_csprt-3-0098_01_jsna-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0003_sud_vo_adv_csprt-3-0098_01_jsna-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0003_sud_vo_adv_csprt-3-0098_01_jsna-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	69	75	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
4	星南	ええ。燕に本格的なだしの取り方とか\n教えてもらって、頑張ってみたの。	sud_vo_adv_csprt-3-0098_01_jsna-004	sud_vo_adv_csprt-3-0098_01	16	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0004_sud_vo_adv_csprt-3-0098_01_jsna-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0004_sud_vo_adv_csprt-3-0098_01_jsna-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0004_sud_vo_adv_csprt-3-0098_01_jsna-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	90	93	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
5	星南	気にしないで。私のお弁当も、\n中身は普通よ。ほら――	sud_vo_adv_csprt-3-0098_01_jsna-005	sud_vo_adv_csprt-3-0098_01	17	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0005_sud_vo_adv_csprt-3-0098_01_jsna-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0005_sud_vo_adv_csprt-3-0098_01_jsna-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0005_sud_vo_adv_csprt-3-0098_01_jsna-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	114	118	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
6	星南	フフ、髪はサフランで、\n顔は黒豆とそぼろで表現してみたの。	sud_vo_adv_csprt-3-0098_01_jsna-006	sud_vo_adv_csprt-3-0098_01	18	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0006_sud_vo_adv_csprt-3-0098_01_jsna-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0006_sud_vo_adv_csprt-3-0098_01_jsna-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0006_sud_vo_adv_csprt-3-0098_01_jsna-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	134	140	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
7	星南	さあ、遠慮なく食べてちょうだい。\n美味しくできてるといいんだけど……	sud_vo_adv_csprt-3-0098_01_jsna-007	sud_vo_adv_csprt-3-0098_01	19	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0007_sud_vo_adv_csprt-3-0098_01_jsna-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0007_sud_vo_adv_csprt-3-0098_01_jsna-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0007_sud_vo_adv_csprt-3-0098_01_jsna-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	143	148	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
8	星南	ど、どうかしら……？	sud_vo_adv_csprt-3-0098_01_jsna-008	sud_vo_adv_csprt-3-0098_01	20	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0008_sud_vo_adv_csprt-3-0098_01_jsna-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0008_sud_vo_adv_csprt-3-0098_01_jsna-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0008_sud_vo_adv_csprt-3-0098_01_jsna-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363433/dda55224f0730cb20ee23549610b09ec	161	165	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/5238343630/4a1cf0f5d61889507f3458195d75c112
9	星南	――莉波。	sud_vo_adv_dear_hrnm_035_jsna-001	sud_vo_adv_dear_hrnm_035	49	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0009_sud_vo_adv_dear_hrnm_035_jsna-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0009_sud_vo_adv_dear_hrnm_035_jsna-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0009_sud_vo_adv_dear_hrnm_035_jsna-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	61	62	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
10	星南	ここまで、来てくれたのね。\n嬉しいわ。	sud_vo_adv_dear_hrnm_035_jsna-002	sud_vo_adv_dear_hrnm_035	50	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0010_sud_vo_adv_dear_hrnm_035_jsna-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0010_sud_vo_adv_dear_hrnm_035_jsna-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\sena\20260715_012617_limit100\items\0010_sud_vo_adv_dear_hrnm_035_jsna-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	70	71	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
