index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	清夏	ね、リーリヤ見て見て～。\nこの写真、懐かしくない？	sud_vo_adv_csprt-3-0008_01_ssmk-001	sud_vo_adv_csprt-3-0008_01	10	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0001_sud_vo_adv_csprt-3-0008_01_ssmk-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0001_sud_vo_adv_csprt-3-0008_01_ssmk-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0001_sud_vo_adv_csprt-3-0008_01_ssmk-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	5	7	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
2	清夏	そ！　服とかいっぱい買った時の！	sud_vo_adv_csprt-3-0008_01_ssmk-002	sud_vo_adv_csprt-3-0008_01	11	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0002_sud_vo_adv_csprt-3-0008_01_ssmk-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0002_sud_vo_adv_csprt-3-0008_01_ssmk-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0002_sud_vo_adv_csprt-3-0008_01_ssmk-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	25	26	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
3	清夏	んで、こっちがこの間、\n一緒にクレープ食べた時の写真♪	sud_vo_adv_csprt-3-0008_01_ssmk-003	sud_vo_adv_csprt-3-0008_01	12	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0003_sud_vo_adv_csprt-3-0008_01_ssmk-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0003_sud_vo_adv_csprt-3-0008_01_ssmk-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0003_sud_vo_adv_csprt-3-0008_01_ssmk-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	32	33	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
4	清夏	あたしたち、似たよーな写真\nたくさん撮ってんね～。	sud_vo_adv_csprt-3-0008_01_ssmk-004	sud_vo_adv_csprt-3-0008_01	13	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0004_sud_vo_adv_csprt-3-0008_01_ssmk-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0004_sud_vo_adv_csprt-3-0008_01_ssmk-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0004_sud_vo_adv_csprt-3-0008_01_ssmk-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	36	38	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
5	清夏	だって、リーリヤ可愛いんだもん♪	sud_vo_adv_csprt-3-0008_01_ssmk-005	sud_vo_adv_csprt-3-0008_01	14	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0005_sud_vo_adv_csprt-3-0008_01_ssmk-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0005_sud_vo_adv_csprt-3-0008_01_ssmk-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0005_sud_vo_adv_csprt-3-0008_01_ssmk-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	51	52	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
6	清夏	こっちはね、不意打ちに対応出来なくて\n変な顔になってるリーリヤで～……	sud_vo_adv_csprt-3-0008_01_ssmk-006	sud_vo_adv_csprt-3-0008_01	15	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0006_sud_vo_adv_csprt-3-0008_01_ssmk-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0006_sud_vo_adv_csprt-3-0008_01_ssmk-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0006_sud_vo_adv_csprt-3-0008_01_ssmk-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	58	59	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
7	清夏	え～？　あたしの\n可愛いリーリヤコレクションなのに～。	sud_vo_adv_csprt-3-0008_01_ssmk-007	sud_vo_adv_csprt-3-0008_01	16	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0007_sud_vo_adv_csprt-3-0008_01_ssmk-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0007_sud_vo_adv_csprt-3-0008_01_ssmk-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0007_sud_vo_adv_csprt-3-0008_01_ssmk-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	73	74	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
8	清夏	大丈夫だって！\nリーリヤ以外には見せないから♪	sud_vo_adv_csprt-3-0008_01_ssmk-008	sud_vo_adv_csprt-3-0008_01	17	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0008_sud_vo_adv_csprt-3-0008_01_ssmk-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0008_sud_vo_adv_csprt-3-0008_01_ssmk-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0008_sud_vo_adv_csprt-3-0008_01_ssmk-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	87	88	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
9	清夏	へ……？	sud_vo_adv_csprt-3-0008_01_ssmk-009	sud_vo_adv_csprt-3-0008_01	18	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0009_sud_vo_adv_csprt-3-0008_01_ssmk-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0009_sud_vo_adv_csprt-3-0008_01_ssmk-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0009_sud_vo_adv_csprt-3-0008_01_ssmk-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	108	109	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
10	清夏	おっけー！　じゃ、可愛くしちゃえば\nいいってことっしょ？	sud_vo_adv_csprt-3-0008_01_ssmk-010	sud_vo_adv_csprt-3-0008_01	19	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0010_sud_vo_adv_csprt-3-0008_01_ssmk-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0010_sud_vo_adv_csprt-3-0008_01_ssmk-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\sumika\20260714_235935_limit100\items\0010_sud_vo_adv_csprt-3-0008_01_ssmk-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/52313333/b27f286278ef5809e64357af44b940cc	127	129	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/2/523130383932/dd16d0e1ebb97341ed75203f32d3cf0a
