index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	手毬	ことね。ちょっと話があるんだけど。	sud_vo_adv_csprt-3-0065_03_ttmr-001	sud_vo_adv_csprt-3-0065_03	13	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0001_sud_vo_adv_csprt-3-0065_03_ttmr-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0001_sud_vo_adv_csprt-3-0065_03_ttmr-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0001_sud_vo_adv_csprt-3-0065_03_ttmr-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	24	25	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
2	手毬	ことね……さ。最近……	sud_vo_adv_csprt-3-0065_03_ttmr-002	sud_vo_adv_csprt-3-0065_03	14	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0002_sud_vo_adv_csprt-3-0065_03_ttmr-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0002_sud_vo_adv_csprt-3-0065_03_ttmr-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0002_sud_vo_adv_csprt-3-0065_03_ttmr-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	49	50	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
3	手毬	よく美鈴と一緒にいるよね。\n……どういう関係？	sud_vo_adv_csprt-3-0065_03_ttmr-003	sud_vo_adv_csprt-3-0065_03	15	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0003_sud_vo_adv_csprt-3-0065_03_ttmr-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0003_sud_vo_adv_csprt-3-0065_03_ttmr-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0003_sud_vo_adv_csprt-3-0065_03_ttmr-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	56	59	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
4	手毬	なに？　答えられないってこと？	sud_vo_adv_csprt-3-0065_03_ttmr-004	sud_vo_adv_csprt-3-0065_03	16	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0004_sud_vo_adv_csprt-3-0065_03_ttmr-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0004_sud_vo_adv_csprt-3-0065_03_ttmr-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0004_sud_vo_adv_csprt-3-0065_03_ttmr-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	87	88	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
5	手毬	ごまかそうとしてる？	sud_vo_adv_csprt-3-0065_03_ttmr-005	sud_vo_adv_csprt-3-0065_03	17	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0005_sud_vo_adv_csprt-3-0065_03_ttmr-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0005_sud_vo_adv_csprt-3-0065_03_ttmr-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0005_sud_vo_adv_csprt-3-0065_03_ttmr-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	103	104	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
6	手毬	あっそ……別にいいけど。\n――じゃ、いただきます。	sud_vo_adv_csprt-3-0065_03_ttmr-006	sud_vo_adv_csprt-3-0065_03	18	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0006_sud_vo_adv_csprt-3-0065_03_ttmr-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0006_sud_vo_adv_csprt-3-0065_03_ttmr-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0006_sud_vo_adv_csprt-3-0065_03_ttmr-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	128	129	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
7	手毬	ねぇ…………ことね、\nこのからあげって……さ。	sud_vo_adv_csprt-3-0065_03_ttmr-007	sud_vo_adv_csprt-3-0065_03	19	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0007_sud_vo_adv_csprt-3-0065_03_ttmr-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0007_sud_vo_adv_csprt-3-0065_03_ttmr-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0007_sud_vo_adv_csprt-3-0065_03_ttmr-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	142	143	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
8	手毬	そう……相変わらずまどろっこしいな。\n美鈴にお礼言っておいて。	sud_vo_adv_csprt-3-0065_03_ttmr-008	sud_vo_adv_csprt-3-0065_03	20	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0008_sud_vo_adv_csprt-3-0065_03_ttmr-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0008_sud_vo_adv_csprt-3-0065_03_ttmr-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0008_sud_vo_adv_csprt-3-0065_03_ttmr-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5232343433/8b6a00d25d2d4abdb203923fd522c02b	165	166	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5237393438/3527bdc78e18ca077aae170a1949e5a1
9	手毬	いよいよ優勝ライブだね、\nプロデューサー。	sud_vo_adv_cidol-ttmr-3-007_03_ttmr-001	sud_vo_adv_cidol-ttmr-3-007_03	1	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0009_sud_vo_adv_cidol-ttmr-3-007_03_ttmr-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0009_sud_vo_adv_cidol-ttmr-3-007_03_ttmr-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0009_sud_vo_adv_cidol-ttmr-3-007_03_ttmr-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231333333/6e6752f7c7e9e2f1805c16b90c1ab7f9	27	26	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130383330/bf0f129121be1cece670ffc749df1423
10	手毬	美鈴も、燐羽も、きっと観てる。	sud_vo_adv_cidol-ttmr-3-007_03_ttmr-002	sud_vo_adv_cidol-ttmr-3-007_03	2	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0010_sud_vo_adv_cidol-ttmr-3-007_03_ttmr-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0010_sud_vo_adv_cidol-ttmr-3-007_03_ttmr-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\temari\20260714_223748_limit100\items\0010_sud_vo_adv_cidol-ttmr-3-007_03_ttmr-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231333333/6e6752f7c7e9e2f1805c16b90c1ab7f9	28	29	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/0/523130383330/bf0f129121be1cece670ffc749df1423
