index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	佑芽	あたしたち生徒会の一年生による！　\n作戦会議をはじめまーっす♪	sud_vo_adv_event_025_main-03_hume-001	sud_vo_adv_event_025_main-03	18	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0001_sud_vo_adv_event_025_main-03_hume-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0001_sud_vo_adv_event_025_main-03_hume-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0001_sud_vo_adv_event_025_main-03_hume-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	6	8	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
2	佑芽	次期生徒会長千奈ちゃん、\n本日の議題をどうぞ！	sud_vo_adv_event_025_main-03_hume-002	sud_vo_adv_event_025_main-03	19	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0002_sud_vo_adv_event_025_main-03_hume-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0002_sud_vo_adv_event_025_main-03_hume-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0002_sud_vo_adv_event_025_main-03_hume-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	16	19	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
3	佑芽	うん！　素敵なパーティーにして、\n先輩方に喜んでもらおうね！	sud_vo_adv_event_025_main-03_hume-003	sud_vo_adv_event_025_main-03	20	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0003_sud_vo_adv_event_025_main-03_hume-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0003_sud_vo_adv_event_025_main-03_hume-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0003_sud_vo_adv_event_025_main-03_hume-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	41	42	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
4	佑芽	うっ……	sud_vo_adv_event_025_main-03_hume-004	sud_vo_adv_event_025_main-03	21	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0004_sud_vo_adv_event_025_main-03_hume-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0004_sud_vo_adv_event_025_main-03_hume-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0004_sud_vo_adv_event_025_main-03_hume-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	77	78	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
5	佑芽	はーいっ！　あたしにナイスアイデアが\nありまーっす！	sud_vo_adv_event_025_main-03_hume-005	sud_vo_adv_event_025_main-03	22	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0005_sud_vo_adv_event_025_main-03_hume-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0005_sud_vo_adv_event_025_main-03_hume-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0005_sud_vo_adv_event_025_main-03_hume-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	85	95	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
6	佑芽	スケジュールアプリを使って、\n仕事の進捗管理をするのはどうかな？	sud_vo_adv_event_025_main-03_hume-006	sud_vo_adv_event_025_main-03	23	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0006_sud_vo_adv_event_025_main-03_hume-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0006_sud_vo_adv_event_025_main-03_hume-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0006_sud_vo_adv_event_025_main-03_hume-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	107	111	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
7	佑芽	うん。いいアプリがあれば、先輩方とも\n共有して……どうかなぁ？	sud_vo_adv_event_025_main-03_hume-007	sud_vo_adv_event_025_main-03	24	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0007_sud_vo_adv_event_025_main-03_hume-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0007_sud_vo_adv_event_025_main-03_hume-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0007_sud_vo_adv_event_025_main-03_hume-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	118	129	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
8	佑芽	ありがとう～♪　\n先輩方に提案できるように、\n資料を準備するね！	sud_vo_adv_event_025_main-03_hume-008	sud_vo_adv_event_025_main-03	25	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0008_sud_vo_adv_event_025_main-03_hume-008_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0008_sud_vo_adv_event_025_main-03_hume-008_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0008_sud_vo_adv_event_025_main-03_hume-008_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	141	149	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
9	佑芽	しちゃう？　3人で……組体操……	sud_vo_adv_event_025_main-03_hume-009	sud_vo_adv_event_025_main-03	26	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0009_sud_vo_adv_event_025_main-03_hume-009_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0009_sud_vo_adv_event_025_main-03_hume-009_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0009_sud_vo_adv_event_025_main-03_hume-009_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	164	175	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
10	佑芽	そっかー。うーん……どんな\nパーティーにすればいいんだろう。	sud_vo_adv_event_025_main-03_hume-010	sud_vo_adv_event_025_main-03	27	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0010_sud_vo_adv_event_025_main-03_hume-010_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0010_sud_vo_adv_event_025_main-03_hume-010_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0010_sud_vo_adv_event_025_main-03_hume-010_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	202	211	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
11	佑芽	……そっか。それで、手作り料理を……	sud_vo_adv_event_025_main-03_hume-011	sud_vo_adv_event_025_main-03	28	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0011_sud_vo_adv_event_025_main-03_hume-011_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0011_sud_vo_adv_event_025_main-03_hume-011_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0011_sud_vo_adv_event_025_main-03_hume-011_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	272	275	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
12	佑芽	いいに決まってるよ！　\nね、美鈴ちゃん？	sud_vo_adv_event_025_main-03_hume-012	sud_vo_adv_event_025_main-03	29	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0012_sud_vo_adv_event_025_main-03_hume-012_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0012_sud_vo_adv_event_025_main-03_hume-012_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0012_sud_vo_adv_event_025_main-03_hume-012_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	294	301	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
13	佑芽	じゃ、さっそく企画書を作って、\n先輩方に報告しよう！	sud_vo_adv_event_025_main-03_hume-013	sud_vo_adv_event_025_main-03	30	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0013_sud_vo_adv_event_025_main-03_hume-013_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0013_sud_vo_adv_event_025_main-03_hume-013_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0013_sud_vo_adv_event_025_main-03_hume-013_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	345	355	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
14	佑芽	いつもそうだったじゃん。	sud_vo_adv_event_025_main-03_hume-014	sud_vo_adv_event_025_main-03	31	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0014_sud_vo_adv_event_025_main-03_hume-014_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0014_sud_vo_adv_event_025_main-03_hume-014_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0014_sud_vo_adv_event_025_main-03_hume-014_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	378	379	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
15	佑芽	あたしね、生徒会に入って、\n色んな企画に参加して、思ったんだ。	sud_vo_adv_event_025_main-03_hume-015	sud_vo_adv_event_025_main-03	32	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0015_sud_vo_adv_event_025_main-03_hume-015_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0015_sud_vo_adv_event_025_main-03_hume-015_02_voice.wav	C:\Repositories\GakumasuVoice\output\ume\20260715_005332_limit100\items\0015_sud_vo_adv_event_025_main-03_hume-015_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5236343733/041a4db7cf6152776422ca5df375f49c	380	383	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/523130383738/89d391a8199c68d20b96bab3a94a5e3b
